,Restaurant_Name,longitude,lattitude,rad_longi,rad_latit,e_distance
127,Sai Palace,73.80801,18.50768,1.28815479675,0.32301042622222226,0.00045772234759146004
128,Godavari Ruchulu,73.80833,18.50856,1.288160381638889,0.32302578466666665,0.00047360436746457166
129,Hotel Monika,73.81589,18.49105,1.2882923246388889,0.32272018652777784,0.0004026725373457506
130,Abhishek Veg Restaurant,73.83052,18.50381,1.288547658777778,0.32294288397222226,0.0007193133301319807
131,Food Gossips,73.81539,18.51436,1.28828359825,0.32312701077777783,0.0006277013996894658
132,Coffee Break,73.83071,18.504,1.2885509748055557,0.3229462,0.000723742537073647
133,Shree Ganesh Dining Hall,73.8072,18.50746,1.2881406599999998,0.3230065866111111,0.00044676165857758765
134,Bismillah Caterer's,73.81789,18.4903,1.2883272301944446,0.3227070969444445,0.00043426218265179976
135,Aswaad,73.8152,18.51474,1.2882802822222224,0.32313364283333335,0.0006309572867806127
136,Cafe Swagg,73.8152,18.51474,1.2882802822222224,0.32313364283333335,0.0006309572867806127
137,Shivam,73.8152,18.51474,1.2882802822222224,0.32313364283333335,0.0006309572867806127
138,Cafe New Durga,73.8152,18.51474,1.2882802822222224,0.32313364283333335,0.0006309572867806127
139,Asswad,73.8152,18.51474,1.2882802822222224,0.32313364283333335,0.0006309572867806127
140,Zillionth Bistro,73.8152,18.51474,1.2882802822222224,0.32313364283333335,0.0006309572867806127
141,Singh Saab,73.8152,18.51474,1.2882802822222224,0.32313364283333335,0.0006309572867806127
142,Aaseing's Kitchen,73.8152,18.51474,1.2882802822222224,0.32313364283333335,0.0006309572867806127
143,Log House,73.80693,18.50741,1.28813594775,0.3230057139722222,0.00044350011819328957
144,Baba's Veg Non Veg,73.83111,18.50382,1.2885579559166667,0.32294305850000005,0.0007286760455250582
145,Curry Leaves,73.81541,18.51505,1.2882839473055556,0.3231390531944444,0.0006374834876707209
146,Amruteshwar,73.81524,18.49031,1.2882809803333335,0.3227072714722222,0.00038886171456437946
